stop_id,stop_name,congestion_loss,congestion_score
S0063,Kupondole stop,0.0,0.0
S0092,Gathaghar,228486.0,0.0735
S0094,Krishna Pauroti Stop,0.0,0.0
S0095,Sallaghari Stop,58170.0,0.0187
S0096,Budhanilkantha Micro Stand,0.0,0.0
S0098,Tinkune Bhaktapur,30717.0,0.0099
S0100,RNAC stop,0.0,0.0
S0101,MAV School,0.0,0.0
S0102,New Plaza Stop,108233.0,0.0348
S0103,Jawlakhel Stop,0.0,0.0
S0104,Lubhu Bus Stop,0.0,0.0
S0105,Bhatbhatini Stop,0.0,0.0
S0108,Thapagaun Stop,0.0,0.0
S0109,Chapal Karkhana stop,0.0,0.0
S0112,Lagankhel Stop,0.0,0.0
S0113,Balaju,0.0,0.0
S0115,Milan Chowk Stop,0.0,0.0
S0117,Sanga,0.0,0.0
S0118,Dhumbarahi,0.0,0.0
S0119,Thankot Checkpost,0.0,0.0
S0107,Koteshwor Stop,0.0,0.0
S0106,Nakhu Stop,0.0,0.0
S0110,Thimi Stop,0.0,0.0
S0120,Gothatar,0.0,0.0
S0121,Banepa Tindobato,0.0,0.0
S0123,Naxal Bhagwati,0.0,0.0
S0124,Teaching Hospital stop,290430.0,0.0934
S0125,Attarkhel,0.0,0.0
S0126,Maitidevi Temple stop,72676.0,0.0234
S0127,Shantinagar Stop,0.0,0.0
S0129,Bungmati,0.0,0.0
S0133,Saughal,0.0,0.0
S0134,Gopi Krishna Stop,0.0,0.0
S0135,Jorpati,506293.0,0.1628
S0136,Banepa,0.0,0.0
S0137,Ghantaghar (घण्टाघर) stop,57875.0,0.0186
S0139,Sinamangal/Ring Road Stop सिनामंगल,0.0,0.0
S0140,Gokarna Bus Stop,0.0,0.0
S0141,Tyogal,0.0,0.0
S0142,UN Stop,194844.0,0.0626
S0143,Budhanilkantha School Blue Micro Stand,0.0,0.0
S0144,Shivapuri Park Stop,0.0,0.0
S0145,Chyamasingh,0.0,0.0
S0146,Sakhu Stop,0.0,0.0
S0147,Radhe Radhe,0.0,0.0
S0138,Khumaltar Stop,0.0,0.0
S0148,Sinamangal,189650.0,0.061
S0149,Lazimpat stop,288038.0,0.0926
S0152,Jamal,249092.0,0.0801
S0154,Mangalbazar,0.0,0.0
S0155,Patan Hospital,0.0,0.0
S0156,Pepsi Cola Chowk,0.0,0.0
S0158,Bansbari stop,0.0,0.0
S0159,Jadibuti,1078776.0,0.3468
S0160,Bansdol,0.0,0.0
S0162,Thulo Bharang Stop,0.0,0.0
S0165,Mahakali Stop,0.0,0.0
S0166,Kantipath,249092.0,0.0801
S0167,ShivaDarshan Hall Stop,0.0,0.0
S0168,Jwagal,0.0,0.0
S0169,Gongabu Chowk,0.0,0.0
S0171,Bir Hospital,231989.0,0.0746
S0172,Hyatt Regency,0.0,0.0
S0173,Dakshinkali,0.0,0.0
S0174,Naya Bus Park,0.0,0.0
S0176,Budhanilkantha Stop,0.0,0.0
S0177,Balaju Chowk Bus Stop,0.0,0.0
S0178,Adarsha,0.0,0.0
S0179,Khokana,0.0,0.0
S0180,Sangam Chowk Stop,0.0,0.0
S0182,B & B Hospital/KCM Stop,0.0,0.0
S0183,Dhulikhel Stop,0.0,0.0
S0187,Samakhusi Stop,0.0,0.0
S0188,Gairidhara,0.0,0.0
S0189,Sanepa height,0.0,0.0
S0190,Jagati,0.0,0.0
S0194,Batuk Bhairav,0.0,0.0
S0195,Chabahil चाबाहील,539824.0,0.1736
S0196,Anamnagar Stop,0.0,0.0
S0197,Police Headquarter Stop,0.0,0.0
S0198,Ratnapark(purano bus park),115930.0,0.0373
S0200,Lamatar,0.0,0.0
S0202,Srijananagar,0.0,0.0
S0203,Tinkune Subidhanagar,143278.0,0.0461
S0204,Gaushala Chowk Stop,767130.0,0.2466
S0205,Ratna Rajya Stop,0.0,0.0
S0207,ASCOL Stop,0.0,0.0
S0208,Panauti,0.0,0.0
S0209,Singha Durbar East Stop,603093.0,0.1939
S0210,Ciy Center Stop,0.0,0.0
S0211,Swayambhu Parikarma,0.0,0.0
S0212,Banasthali,0.0,0.0
S0216,Thecho,0.0,0.0
S0217,Sukedhara Stop,0.0,0.0
S0219,Lagankhel,0.0,0.0
S0220,Balkumari Bridge Stop,0.0,0.0
S0221,Naya Bazar,0.0,0.0
S0222,Old Baneshwor,847462.0,0.2725
S0223,Lalitpur Industrial Estate,0.0,0.0
S0224,Changu Narayan,0.0,0.0
S0225,Kumari Club,0.0,0.0
S0226,Gahabahal,0.0,0.0
S0227,Mahapal,0.0,0.0
S0228,Dhungedhara,0.0,0.0
S0230,Balkhu,81270.0,0.0261
S0231,Golfutar stop,0.0,0.0
S0233,Balkhu Stop,81270.0,0.0261
S0234,Pulchowk,804004.0,0.2585
S0236,"NAC (Nepal Airlines Corporation, Kantipath)",0.0,0.0
S0237,Harihar Bhawan,716964.0,0.2305
S0238,Gangalal Hospital (Shahid Gangalal National Heart Centre),0.0,0.0
S0239,Godawari,0.0,0.0
S0240,Tribhuvan International Airport,335611.0,0.1079
S0241,"President's Residence (Sheetal Niwas, Maharajgunj)",0.0,0.0
S0242,Bungamati,0.0,0.0
S0243,Lele,0.0,0.0
S0244,Sunakothi,0.0,0.0
S0245,Badegaun,0.0,0.0
S0247,Bhaisepati,0.0,0.0
S0248,Chapagaun Dobato,276630.0,0.0889
S0249,Chapali Bhadrakali,0.0,0.0
S0250,Dholahiti,0.0,0.0
S0252,Gongabu Bus Park,0.0,0.0
S0253,Harisiddhi,0.0,0.0
S0254,Hattiban,0.0,0.0
S0255,Hattigauda,0.0,0.0
S0257,KIST Medical College Teaching Hospital,1136024.0,0.3652
S0259,New Baneshwor East,1013036.0,0.3257
S0260,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS),0.0,0.0
S0261,Pyangaun,0.0,0.0
S0262,Rata Makai Chowk,0.0,0.0
S0264,Sana Gaun Bus Stop,0.0,0.0
S0267,Taukhel,0.0,0.0
S0268,Nepal Telecom (Budhanilkantha),0.0,0.0
S0269,Tikabhairab Temple,0.0,0.0
S0270,Tribhuwan Park,0.0,0.0
S0266,Satungal,0.0,0.0
S0263,Ravi Bhavan,0.0,0.0
S0258,Nakkhu (bus stop),0.0,0.0
S0271,Soalteemode West,637266.0,0.2049
S0272,Handegaun,0.0,0.0
S0273,Dungin,0.0,0.0
