stop_id,stop_name,lat,lng,zone,district,verified,note
S0203,Tinkune Subidhanagar,27.686008,85.345590,Kathmandu,KATHMANDU,,
S0168,Jwagal,27.685593,85.318106,Lalitpur,LALITPUR,,
S0233,Balkhu Stop,27.684934,85.297970,Kathmandu,KATHMANDU,,
S0017,Tinkune Stop,27.685268,85.348760,Kathmandu,KATHMANDU,,
S0328,Jwagal Chowk,27.683512,85.321045,Lalitpur,LALITPUR,,
S0150,Baakha Bazaar,27.682879,85.385831,Madhyapur Thimi,BHAKTAPUR,,
S0283,Nabil Bank,27.6828614259285,85.3184559776392,Lalitpur,LALITPUR,,
S0181,SanoThimi,27.682682,85.37234,Madhyapur Thimi,BHAKTAPUR,,
S0225,Kumari Club,27.682663,85.298599,Kathmandu,KATHMANDU,,
S0266,Satungal,27.6825156,85.2489603,Chandragiri,KATHMANDU,,
S0230,Balkhu,27.684283,85.297412,Kathmandu,KATHMANDU,,
S0284,Harihar Bhawan/ Krishna galli,27.680473,85.317287,Lalitpur,LALITPUR,,
S0018,Sankhamul Stop,27.681128,85.331587,Lalitpur,LALITPUR,,
S0237,Harihar Bhawan,27.680953,85.317437,Lalitpur,LALITPUR,,
S0232,Matatirtha Stop,27.680577,85.232858,Chandragiri,KATHMANDU,,
S0041,BishnuDevi Health Centre,27.680562,85.276439,Kirtipur,KATHMANDU,,
S0057,Nikosera,27.680054,85.39845,Madhyapur Thimi,BHAKTAPUR,,
S0358,Kirtipur Mod,27.68,85.292,Kathmandu,KATHMANDU,,
S0107,Koteshwor Stop,27.679676,85.349591,Kathmandu,KATHMANDU,,
S0043,TU Gate,27.67888,85.297212,Kirtipur,KATHMANDU,,
S0234,Pulchowk,27.677010,85.316203,Lalitpur,LALITPUR,,
S0323,Purano Thimi / Siddhikali Chowk,27.678967,85.375882,Madhyapur Thimi,BHAKTAPUR,,
S0142,UN Stop,27.678104,85.316327,Lalitpur,LALITPUR,,
S0025,Kamal Binayak,27.677367,85.436892,Bhaktapur,BHAKTAPUR,,
S0221,Naya Bazar,27.677149,85.28139,Kirtipur,KATHMANDU,,
S0047,Tinkune (Kirtipur side),27.676654,85.283543,Kirtipur,KATHMANDU,,
S0324,Balkumari Thimi,27.67631,85.373115,Madhyapur Thimi,BHAKTAPUR,,
S0024,Balkumari Stop,27.673467,85.342022,Lalitpur,LALITPUR,,
S0322,Nagadesh,27.676214,85.385102,Madhyapur Thimi,BHAKTAPUR,,
S0049,Naya Bato,27.676114,85.293897,Kirtipur,KATHMANDU,,
S0050,Mahalaxmi Stop,27.676102,85.433768,Bhaktapur,BHAKTAPUR,,
S0058,Natole,27.676065,85.318202,Lalitpur,LALITPUR,,
S0165,Mahakali Stop,27.675964,85.431831,Bhaktapur,BHAKTAPUR,,
S0116,Damkal,27.675796,85.315747,Lalitpur,LALITPUR,,
