stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0141,Tyogal,27.668631,85.329848,,,,NOT_FOUND
S0142,UN Stop,27.678104,85.316327,,,,NOT_FOUND
S0143,Budhanilkantha School Blue Micro Stand,27.778969,85.358998,,,,NOT_FOUND
S0144,Shivapuri Park Stop,27.791067,85.37041,27.7630962,85.4255144,6250.1,MISMATCH
S0145,Chyamasingh,27.673427,85.438368,,,,NOT_FOUND
S0146,Sakhu Stop,27.727684,85.461668,27.7290403,85.4670564,551.4,MISMATCH
S0147,Radhe Radhe,27.67459,85.39748,27.7066414,85.3287986,7644.0,MISMATCH
S0148,Sinamangal,27.698432,85.348521,27.6991844,85.3504227,205.1,OK
S0149,Lazimpat stop,27.722523,85.320924,27.7192324,85.318208,453.2,OK
S0152,Jamal,27.708829,85.315292,27.7094872,85.3171101,193.4,OK
S0154,Mangalbazar,27.672641,85.32499,,,,NOT_FOUND
S0155,Patan Hospital,27.668489,85.321642,27.6426297,85.338126,3302.1,MISMATCH
S0156,Pepsi Cola Chowk,27.689209,85.360354,,,,NOT_FOUND
S0158,Bansbari stop,27.745758,85.342373,27.7460717,85.3427702,52.4,OK
S0159,Jadibuti,27.675459,85.3516,27.6753786,85.3515761,9.2,OK
S0160,Bansdol,27.632201,85.494012,,,,NOT_FOUND
S0162,Thulo Bharang Stop,27.719748,85.287051,,,,NOT_FOUND
S0165,Mahakali Stop,27.675964,85.431831,27.6737763,85.2822325,14733.6,MISMATCH
S0166,Kantipath,27.708912,85.314607,27.7092826,85.3166186,202.3,OK
S0167,ShivaDarshan Hall Stop,27.692336,85.336217,,,,NOT_FOUND
S0168,Jwagal,27.685593,85.318106,,,,NOT_FOUND
S0169,Gongabu Chowk,27.734978,85.314447,27.7349404,85.3146154,17.1,OK
S0171,Bir Hospital,27.705723,85.314074,27.7051958,85.3130419,117.3,OK
S0172,Hyatt Regency,27.7194,85.354109,27.7195659,85.3540123,20.8,OK
S0173,Dakshinkali,27.613062,85.264669,27.6109788,85.264281,234.8,OK
S0174,Naya Bus Park,27.7303,85.3082,27.7329764,85.3081087,297.7,OK
S0176,Budhanilkantha Stop,27.776743,85.36214,27.7768321,85.3620855,11.3,OK
S0177,Balaju Chowk Bus Stop,27.726165,85.304975,27.7260406,85.304997,14.0,OK
S0178,Adarsha,27.666463,85.433093,27.681065,85.3459023,8738.3,MISMATCH
S0179,Khokana,27.635969,85.300606,27.6272337,85.2912733,1337.4,MISMATCH
S0180,Sangam Chowk Stop,27.693196,85.340502,27.7002065,85.3271693,1526.7,MISMATCH
S0182,B & B Hospital/KCM Stop,27.664221,85.330151,,,,NOT_FOUND
S0183,Dhulikhel Stop,27.618415,85.554015,,,,NOT_FOUND
S0187,Samakhusi Stop,27.7335,85.3125,27.7354232,85.3221368,972.3,MISMATCH
S0188,Gairidhara,27.717774,85.327892,27.7177295,85.3278347,7.5,OK
S0189,Sanepa height,27.674468,85.302217,,,,NOT_FOUND
S0190,Jagati,27.666463,85.436463,27.6949555,85.3484058,9231.6,MISMATCH
S0194,Batuk Bhairav,27.664475,85.324003,27.662775,85.3294325,567.1,MISMATCH
S0195,Chabahil चाबाहील,27.717,85.3465,27.717121,85.3465225,13.6,OK
S0196,Anamnagar Stop,27.699488,85.3286,27.692849,85.3284387,738.4,MISMATCH
S0197,Police Headquarter Stop,27.716634,85.330214,27.7157591,85.3286297,183.8,OK
S0198,Purano Bus Park,27.703654,85.316517,,,,NOT_FOUND
S0200,Lamatar,27.628007,85.395369,,,,NOT_FOUND
S0202,Srijananagar,27.672911,85.404267,,,,NOT_FOUND
S0203,Tinkune Subidhanagar,27.686056,85.345662,27.6858615,85.3441657,148.9,OK
S0204,Gaushala Chowk Stop,27.7082,85.3485,27.7092549,85.34642,236.0,OK
S0205,Ratna Rajya Stop,27.695667,85.33762,27.6958061,85.3373296,32.5,OK
S0207,ASCOL Stop,27.71738,85.314811,27.7177359,85.3127992,201.9,OK
S0208,Panauti,27.587136,85.513334,,,,NOT_FOUND
S0209,Singha Durbar East Stop,27.696608,85.32815,,,,NOT_FOUND
S0210,Ciy Center Stop,27.709819,85.326984,,,,NOT_FOUND
S0211,Swayambhu Parikarma,27.7125,85.2862,27.7145862,85.286739,238.0,OK
S0212,Banasthali,27.72483,85.297605,27.7249402,85.2977635,19.8,OK
S0214,Ekantakuna,27.668,85.3121,27.6647679,85.3140465,407.3,OK
S0216,Thecho,27.6153,85.319176,,,,NOT_FOUND
S0217,Sukedhara Stop,27.7245,85.3438,27.7257596,85.3443178,149.0,OK
S0219,Lagankhel,27.662461,85.323946,,,,NOT_FOUND
S0220,Balkumari Bridge Stop,27.673762,85.342508,27.6730531,85.3418165,104.2,OK
S0221,Naya Bazar,27.677149,85.28139,27.6770776,85.2819463,55.4,OK
S0222,Old Baneshwor,27.70152,85.340204,27.6906603,85.3360043,1276.4,MISMATCH
S0223,Lalitpur Industrial Estate,27.667312,85.322256,,,,NOT_FOUND
S0224,Changu Narayan,27.716321,85.43078,27.730116,85.3493872,8157.0,MISMATCH
