route_id,stop_id,sequence_no
R2294107,S0133,3
R2294107,S0154,4
R2294107,S0227,5
R2294107,S0226,6
R2294107,S0058,7
R2294107,S0142,8
R2294107,S0168,9
R2294107,S0063,10
R2294107,S0185,11
R2294107,S0132,12
R2294107,S0036,13
R2294107,S0088,14
R2294107,S0067,15
R2294107,S0076,16
R2294107,S0100,17
R2294107,S0171,18
R2294107,S0013,19
R2294152,S0013,1
R2294152,S0198,2
R2294152,S0086,3
R2294152,S0088,4
R2294152,S0036,5
R2294152,S0097,6
R2294152,S0132,7
R2294152,S0185,8
R2294152,S0063,9
R2294152,S0168,10
R2294152,S0328,11
R2294152,S0283,12
R2294152,S0284,13
R2294152,S0142,14
R2294152,S0116,15
R2294152,S0103,16
R2294152,S0213,17
R2294152,S0155,18
R2294152,S0112,19
R2294152,S0223,20
R2295734,S0013,1
R2295734,S0166,2
R2295734,S0152,3
R2295734,S0193,4
R2295734,S0087,5
R2295734,S0149,6
R2295734,S0082,7
R2295734,S0124,8
R2295734,S0030,9
R2295734,S0044,10
R2295734,S0158,11
R2295734,S0231,12
R2295734,S0038,13
R2295734,S0096,14
R2295734,S0176,15
R2295734,S0143,16
R2295768,S0013,1
R2295768,S0198,2
R2295768,S0086,3
R2295768,S0088,4
R2295768,S0036,5
R2295768,S0097,6
R2295768,S0132,7
R2295768,S0185,8
R2295768,S0063,9
R2295768,S0168,10
R2295768,S0142,11
R2295768,S0058,12
R2295768,S0226,13
R2295768,S0227,14
R2295768,S0154,15
R2295902,S0076,1
R2295902,S0086,2
R2295902,S0066,3
R2295902,S0102,4
R2295902,S0196,5
R2295902,S0209,6
R2295902,S0015,7
R2295902,S0033,8
R2295902,S0108,9
R2295902,S0075,10
R2295902,S0167,11
R2295902,S0180,12
R2295902,S0115,13
R2295902,S0006,14
R2295903,S0076,1
R2295903,S0100,2
R2295903,S0171,3
R2295903,S0013,4
R2295903,S0198,5
R2295903,S0086,6
R2295903,S0066,7
R2295903,S0102,8
R2295903,S0196,9
R2295903,S0209,10
R2295903,S0015,11
R2295903,S0033,12
R2295903,S0108,13
R2295903,S0075,14
R2295903,S0069,15
R2295903,S0167,16
R2295903,S0180,17
R2295903,S0115,18
R2295903,S0006,19
R2295941,S0076,1
R2295941,S0067,2
R2295941,S0086,3
R2295941,S0066,4
R2295941,S0102,5
R2295941,S0196,6
R2295941,S0209,7
R2295941,S0015,8
R2295941,S0033,9
R2295941,S0108,10
R2295941,S0075,11
R2295941,S0069,12
R2295941,S0167,13
R2295941,S0059,14
R2295941,S0205,15
R2295942,S0076,1
R2295942,S0100,2
R2295942,S0171,3
R2295942,S0013,4
R2295942,S0198,5
R2295942,S0086,6
R2295942,S0066,7
R2295942,S0102,8
R2295942,S0196,9
R2295942,S0209,10
R2295942,S0015,11
R2295942,S0033,12
R2295942,S0108,13
R2295942,S0075,14
R2295942,S0069,15
R2295942,S0167,16
R2295942,S0059,17
R2295942,S0205,18
R2295942,S0077,19
R2295942,S0046,20
R2295974,S0198,1
R2295974,S0086,2
R2295974,S0088,3
R2295974,S0036,4
R2295974,S0097,5
R2295974,S0132,6
R2295974,S0185,7
R2295974,S0063,8
R2295974,S0168,9
R2295974,S0142,10
R2295974,S0116,11
R2295974,S0103,12
R2295974,S0213,13
R2295974,S0155,14
R2295974,S0112,15
R2295974,S0223,16
R2295974,S0219,17
R2295974,S0194,18
R2295974,S0011,19
R2295974,S0216,20
R2295974,S0060,21
R2295974,S0269,22
R2295986,S0018,1
R2295986,S0069,2
R2295986,S0062,3
R2295986,S0034,4
R2295986,S0028,5
R2295986,S0099,6
R2295986,S0097,7
R2295986,S0036,8
R2295986,S0088,9
R2295986,S0086,10
R2295986,S0198,11
R2295986,S0013,12
R2295986,S0171,13
R2295986,S0100,14
R2295986,S0076,15
R2301161,S0101,1
R2301161,S0011,2
R2301161,S0219,3
R2301161,S0194,4
R2301161,S0112,5
R2301161,S0223,6
R2301161,S0155,7
R2301161,S0213,8
R2301161,S0103,9
R2301161,S0116,10
R2301161,S0142,11
R2301161,S0168,12
R2301161,S0063,13
R2301161,S0185,14
R2301161,S0132,15
R2301161,S0036,16
R2301161,S0088,17
R2301161,S0067,18
R2301161,S0076,19
R2301161,S0100,20
R2301161,S0171,21
R2301161,S0166,22
R2301161,S0152,23
R2301161,S0137,24
R2301161,S0198,25
R2301205,S0198,1
R2301205,S0086,2
R2301205,S0067,3
R2301205,S0076,4
R2301205,S0100,5
R2301205,S0171,6
R2301205,S0166,7
R2301205,S0152,8
R2301205,S0193,9
R2301205,S0087,10
R2301205,S0149,11
R2301205,S0082,12
R2301205,S0124,13
R2301205,S0030,14
R2301205,S0044,15
R2301205,S0158,16
R2301205,S0231,17
R2301205,S0038,18
R2301205,S0096,19
R2301205,S0176,20
R2301205,S0144,21
R2301306,S0024,1
R2301306,S0220,2
R2301306,S0107,3
R2301306,S0017,4
R2301306,S0203,5
R2301306,S0127,6
R2301306,S0029,7
R2301306,S0069,8
R2301306,S0075,9
R2301306,S0108,10
R2301306,S0033,11
R2301306,S0015,12
R2301306,S0209,13
R2301306,S0196,14
R2301306,S0102,15
R2301306,S0005,16
R2301306,S0042,17
R2301306,S0094,18
R2301306,S0188,19
R2301306,S0051,20
R2301306,S0197,21
R2301306,S0105,22
R2301306,S0068,23
R2301306,S0124,24
R2301306,S0030,25
R2301306,S0044,26
R2301306,S0109,27
R2301306,S0118,28
R2301306,S0217,29
R2301306,S0134,30
R2301357,S0075,1
R2301357,S0069,2
R2301357,S0167,3
R2301357,S0059,4
R2301357,S0205,5
R2301357,S0077,6
R2301357,S0046,7
R2301357,S0222,8
R2301357,S0045,9
R2301357,S0204,10
R2301357,S0052,11
R2301357,S0195,12
R2301358,S0124,1
R2301358,S0030,2
R2301358,S0044,3
R2301358,S0134,4
R2301358,S0217,5
R2301358,S0118,6
R2301358,S0109,7
R2301358,S0195,8
R2301358,S0052,9
R2301358,S0204,10
R2301358,S0222,11
R2301358,S0167,12
R2301358,S0059,13
R2301358,S0205,14
R2301358,S0077,15
R2301358,S0046,16
R2302674,S0291,1
R2302674,S0292,2
R2302674,S0275,3
R2302674,S0130,4
R2302674,S0295,5
R2302674,S0296,6
R2302674,S0263,7
R2302674,S0192,8
R2302674,S0023,9
R2302674,S0276,10
R2302674,S0056,11
R2302674,S0185,12
R2302674,S0132,13
R2302674,S0097,14
R2302674,S0028,15
R2302674,S0099,16
R2302674,S0034,17
R2302674,S0062,18
R2302674,S0015,19
R2302674,S0304,20
R2302674,S0069,21
R2302674,S0029,22
R2302674,S0127,23
R2302674,S0017,24
R2302674,S0203,25
R2302674,S0107,26
R2307657,S0360,1
R2307657,S0361,2
R2307657,S0362,3
R2307657,S0363,4
R2307657,S0364,5
R2307657,S0365,6
R2307657,S0366,7
R2307657,S0020,8
R2307657,S0367,9
R2307657,S0368,10
R2307657,S0112,11
R2909799,S0025,1
R2909799,S0050,2
R2909799,S0165,3
R2909799,S0199,4
R2909799,S0081,5
R2909799,S0161,6
R2909799,S0014,7
R2909799,S0098,8
R2909799,S0202,9
R2909799,S0147,10
R2909799,S0110,11
R2909799,S0007,12
R2909799,S0092,13
R2909799,S0004,14
R2909799,S0022,15
R2909799,S0159,16
R2909799,S0107,17
R2909799,S0017,18
R2909799,S0203,19
R2909799,S0127,20
R2909799,S0029,21
R2909799,S0069,22
R2909799,S0034,23
R2909799,S0062,24
R2909799,S0028,25
R2909799,S0099,26
R2909799,S0097,27
R2909799,S0036,28
R2909799,S0102,29
R2909799,S0005,30
R2909799,S0031,31
R2975649,S0198,1
R2975649,S0086,2
R2975649,S0088,3
R2975649,S0036,4
R2975649,S0097,5
R2975649,S0028,6
R2975649,S0099,7
R2975649,S0034,8
R2975649,S0062,9
R2975649,S0069,10
R2975649,S0029,11
R2975649,S0127,12
R2975649,S0017,13
R2975649,S0203,14
R2975649,S0053,15
R2975649,S0139,16
R2975649,S0070,17
R2975649,S0071,18
R2975649,S0204,19
R2975649,S0052,20
R2975649,S0195,21
R2975649,S0134,22
R2975649,S0217,23
R2975649,S0118,24
R2975649,S0109,25
R2975649,S0030,26
R2975649,S0044,27
R2988806,S0013,1
R2988806,S0198,2
R2988806,S0086,3
R2988806,S0278,4
R2988806,S0088,5
R2988806,S0036,6
R2988806,S0097,7
R2988806,S0028,8
R2988806,S0099,9
R2988806,S0034,10
R2988806,S0062,11
R2988806,S0015,12
R2988806,S0304,13
R2988806,S0069,14
R2988806,S0029,15
R2988806,S0127,16
R2988806,S0017,17
R2988806,S0203,18
R2988806,S0107,19
R2988806,S0159,20
R2988806,S0022,21
R2988806,S0004,22
R2988806,S0312,23
R2988806,S0313,24
R2988806,S0314,25
R2988806,S0315,26
R2988806,S0316,27
R2988806,S0317,28
R2988806,S0092,29
R2988806,S0007,30
R2988806,S0110,31
R2988809,S0198,1
R2988809,S0086,2
R2988809,S0088,3
R2988809,S0036,4
R2988809,S0097,5
R2988809,S0028,6
R2988809,S0099,7
R2988809,S0034,8
R2988809,S0062,9
R2988809,S0069,10
R2988809,S0029,11
R2988809,S0127,12
R2988809,S0017,13
R2988809,S0203,14
R2988809,S0053,15
R2988809,S0139,16
R2988809,S0070,17
R2988809,S0071,18
R2988809,S0204,19
R2988809,S0052,20
R2988809,S0195,21
R2988809,S0172,22
R2988809,S0026,23
R2988809,S0135,24
R2988809,S0369,25
R2988809,S0370,26
R2988809,S0371,27
R2988809,S0146,28
R2988810,S0198,1
R2988810,S0086,2
R2988810,S0067,3
R2988810,S0076,4
R2988810,S0100,5
R2988810,S0171,6
R2988810,S0166,7
R2988810,S0152,8
R2988810,S0193,9
R2988810,S0087,10
R2988810,S0149,11
R2988810,S0082,12
R2988810,S0124,13
R2988810,S0030,14
R2988810,S0044,15
R2988810,S0158,16
R2988810,S0231,17
R2988810,S0038,18
R2988810,S0096,19
R2988810,S0176,20
R2988835,S0013,1
R2988835,S0198,2
R2988835,S0086,3
R2988835,S0067,4
R2988835,S0076,5
R2988835,S0056,6
R2988835,S0023,7
R2988835,S0130,8
R2988835,S0054,9
R2988835,S0008,10
R2988835,S0119,11
R2988836,S0010,1
R2988836,S0119,2
R2988836,S0008,3
R2988836,S0054,4
R2988836,S0130,5
R2988836,S0023,6
R2988836,S0056,7
R2988836,S0076,8
R2988836,S0100,9
R2988836,S0171,10
R2988836,S0013,11
R2988890,S0031,1
R2988890,S0198,2
R2988890,S0086,3
R2988890,S0088,4
R2988890,S0036,5
R2988890,S0097,6
R2988890,S0028,7
R2988890,S0099,8
R2988890,S0034,9
R2988890,S0062,10
R2988890,S0069,11
R2988890,S0029,12
R2988890,S0127,13
R2988890,S0017,14
R2988890,S0203,15
R2988890,S0107,16
R2988890,S0159,17
R2988890,S0022,18
R2988890,S0004,19
R2988890,S0092,20
R2988890,S0007,21
R2988890,S0110,22
R2988890,S0147,23
R2988890,S0202,24
R2988890,S0098,25
R2988890,S0014,26
R2988890,S0081,27
R2988890,S0161,28
R2988890,S0199,29
R2988890,S0165,30
R2988890,S0050,31
R2988890,S0025,32
