route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R3074202,kapan-Chabahil-Mitidevi-Ratnapark,,microbus,public,Nepal Yatayat,S0002,S0013,12,7.49,38,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP007,True,OP007,False,6.511,1.104,6.12,True,pending_release,False,True
R3101629,Lagankhel-Satdobato-Khumaltar-Dhapakhel,,microbus,public,Lalitpur Microbus Sewa Samiti,S0219,S0032,8,6.37,29,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP009,True,OP009,False,5.536,2.864,5.13,True,pending_release,False,True
R3102120,Lagankhel-Lamatar,,bus,public,Bagmati Yatayat,S0112,S0200,5,8.59,39,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,8.949,4.947,8.59,False,pending_release,False,True
R3102319,Lagankhel-Tika Bhairab,,bus,public,Bagmati Yatayat,S0112,S0037,7,12.49,58,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,12.459,6.093,12.49,False,pending_release,False,True
R3102605,Swyambhu-Chakrapath parikrama,,bus,public,Mahanagar Yatayat,S0090,S0130,36,25.38,140,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP016,True,OP016,False,24.597,1.618,25.38,False,active,False,True
R2295974,Purano Bus Park-Nakhipot,14,microbus,public,Local Microbus,S0198,S0037,22,16.49,90,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,,True,,False,17.118,5.665,16.49,False,active,False,True
R2301161,MAV School-Purano Buspark,14,microbus,public,Local Microbus,S0101,S0198,25,10.1,59,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,,True,,False,8.786,0.969,7.89,True,pending_release,False,True
R3020212,Dhokashi- Chobar gate- Ratnapark,21,"bus, microbus",public,Samyukta Yatayat,S0073,S0198,13,8.45,48,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,8.242,1.584,8.45,False,pending_release,False,True
R3020213,Ratna Park - Panga Dobato- Dhokashi,21,"bus, microbus",public,Samyukta Yatayat,S0198,S0009,15,7.72,47,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,8.06,1.796,7.72,False,active,False,True
R3020231,Ratna Park - Panga Dobato- Nagaun- Bhatkepati,21,"bus, microbus",public,Samyukta Yatayat,S0198,S0048,16,10.04,57,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,10.381,2.535,10.04,False,active,False,True
R3028077,Balaju-Ratnapark,,"microbus, tempo",public,Balaju Microbus and Tempo Samiti,S0113,S0013,10,4.07,23,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP010,False,OP010,False,3.541,0.922,3.18,True,pending_release,False,True
