route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2295974,Purano Bus Park-Nakhipot,14.0,microbus,public,Local Microbus,S0198,S0269,22,16.49,90.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP030,False,,False,16.923,5.665,16.49,False,active,False,True
R-SAJHA-06,Thankot-Budhanilkantha,,bus,public,Sajha Yatayat,S0010,S0096,21,21.87,168.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,24.322,4.476,36.83,False,active,False,True
R-SAJHA-01,Lagankhel-Gongabu Buspark,,bus,public,Sajha Yatayat,S0112,S0252,19,16.27,84.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,16.671,2.385,16.27,False,active,False,True
R-SAJHA-02,Lagankhel-Budhanilkantha,,bus,public,Sajha Yatayat,S0112,S0096,23,25.36,124.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,25.349,3.722,25.36,False,active,False,True
R-SAJHA-03,Godawari-Ratnapark,,bus,public,Sajha Yatayat,S0239,S0013,17,15.47,79.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,15.773,2.757,15.47,False,active,False,True
R3020174,Purano Buspark-Gothatar,,bus,public,Juneli Yatayat,S0013,S0120,15,10.30,64.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP015,False,OP015,False,11.275,1.788,11.15,False,active,True,True
R3101629,Lagankhel-Satdobato-Khumaltar-Dhapakhel,,microbus,public,Lalitpur Microbus Sewa Samiti,S0219,S0032,7,3.55,29.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP009,False,OP009,False,5.536,2.864,5.13,False,pending_release,False,True
R-SAJHA-08,Bungamati-Jamal,,bus,public,Sajha Yatayat,S0242,S0152,12,11.56,62.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,12.076,3.650,12.28,False,active,False,True
R3070262,Kalanki-Pepsacola,,bus,public,Riddhi Siddhi Yatayat,S0130,S0159,13,9.49,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP018,False,OP018,False,11.218,1.811,10.14,False,pending_release,False,True
R3020212,Dhokashi- Chobar gate- Ratnapark,21.0,bus;microbus,public,Samyukta Yatayat,S0009,S0198,13,7.73,48.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,8.242,1.584,8.45,False,pending_release,False,True
